82 25
##################################################################################
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#                                                                                #
#    P                                                                       E   #
##################################################################################
